"Month","Global_active_power (Mean)","Sub_metering_1 (Mean)","Sub_metering_2 (Mean)","Sub_metering_3 (Mean)","Sub_metering_other (Mean)"
1,1.456,1.401,1.544,7.771,13.545
2,1.3,1.132,1.387,7.587,11.567
3,1.23,1.265,1.658,6.923,10.65
4,1.048,1.077,1.176,6.673,8.542
5,1.03,1.235,1.308,6.697,7.92
6,0.913,1.327,1.245,6.178,6.462
7,0.701,0.708,0.992,4.277,5.7
8,0.596,0.536,0.827,3.976,4.601
9,0.979,1.155,1.188,6.359,7.617
10,1.137,1.066,1.485,6.583,9.819
11,1.292,1.292,1.35,6.97,11.913
12,1.49,1.312,1.441,7.806,14.266
