"Year","Month","Hour_of_Day","Minute_of_Hour","Global_active_power (Mean)","Sub_metering_1 (Mean)","Sub_metering_2 (Mean)","Sub_metering_3 (Mean)","Sub_metering_other (Mean)"
2006,12,0,0,1.144,0,0.533,2.4,16.138
2006,12,0,1,1.335,0,0.267,2.933,19.053
2006,12,0,2,1.294,0,0.4,3.6,17.573
2006,12,0,3,1.133,0,0.2,3.667,15.015
2006,12,0,4,1.379,0,0.467,3.533,18.987
2006,12,0,5,1.364,0,0.2,3.533,19
2006,12,0,6,1.203,0,0.333,3.733,15.989
2006,12,0,7,1.372,0,0.333,3.533,18.993
2006,12,0,8,1.19,0,0.2,3.6,16.027
2006,12,0,9,1.222,0,0.4,3.6,16.36
2006,12,0,10,1.349,0,0.267,3.533,18.682
2006,12,0,11,1.31,0,0.333,3.667,17.833
2006,12,0,12,1.042,0,0.4,3.533,13.431
2006,12,0,13,1.152,0,0.333,3.6,15.26
2006,12,0,14,1.272,0,0.2,3.6,17.402
2006,12,0,15,1.027,0,0.333,3.6,13.187
2006,12,0,16,1.23,0,0.267,3.733,16.498
2006,12,0,17,1.027,0,0.333,3.533,13.253
2006,12,0,18,1.113,0,0.267,3.6,14.689
2006,12,0,19,1.539,0,0.133,3.733,21.787
2006,12,0,20,1.324,0,0.2,3.533,18.336
2006,12,0,21,1.172,0,0.133,3.6,15.807
2006,12,0,22,1.081,0,0.133,3.667,14.224
2006,12,0,23,1.005,0,0.467,3.533,12.742
2006,12,0,24,1.289,0,0.267,3.6,17.624
2006,12,0,25,1.299,0,0.133,3.533,17.987
2006,12,0,26,1.069,0,0.2,3.667,13.944
2006,12,0,27,1.173,0,0.4,3.6,15.556
2006,12,0,28,1.239,0,0.467,3.533,16.656
2006,12,0,29,1.164,0,0.733,3.667,14.998
2006,12,0,30,1.259,0,0.667,3.533,16.787
2006,12,0,31,1.311,0,0.733,3.533,17.578
2006,12,0,32,1.151,0,0.6,4.133,14.453
2006,12,0,33,1.22,0,0.733,4.867,14.733
2006,12,0,34,1.428,0,0.6,4.867,18.327
2006,12,0,35,1.172,0,0.6,4.733,14.193
2006,12,0,36,1.035,0,0.333,4.733,12.187
2006,12,0,37,1.222,0,0.2,4.8,15.364
2006,12,0,38,1.187,0,0.267,4.8,14.724
2006,12,0,39,1.292,0,0.133,4.733,16.664
2006,12,0,40,1.523,0,0.267,4.8,20.309
2006,12,0,41,1.058,0,0.267,3.933,13.44
2006,12,0,42,1.122,0,0.267,3.533,14.896
2006,12,0,43,1.251,0,0.267,3.6,16.989
2006,12,0,44,1.179,0,0.133,3.533,15.991
2006,12,0,45,1.336,0,0.2,3.533,18.536
2006,12,0,46,1.142,0,0.2,3.6,15.229
2006,12,0,47,1.089,0,0.133,3.6,14.411
2006,12,0,48,1.259,0,0.267,3.533,17.187
2006,12,0,49,1.108,0,0.133,3.533,14.798
2006,12,0,50,1.189,0,0.333,4.4,15.078
2006,12,0,51,1.414,0,0.4,4.867,18.304
2006,12,0,52,1.306,0,0.333,4.733,16.704
2006,12,0,53,1.245,0,0.4,4.8,15.544
2006,12,0,54,1.36,0,0.333,4.8,17.54
2006,12,0,55,0.934,0,0.333,4.733,10.502
2006,12,0,56,1.059,0,0.4,4.733,12.513
2006,12,0,57,1.383,0,0.2,4.733,18.122
2006,12,0,58,1.22,0,0.267,4.8,15.262
2006,12,0,59,1.194,0,0.2,4.733,14.964
2006,12,1,0,1.107,0,0.267,4.867,13.309
2006,12,1,1,1.203,0,0.133,4.667,15.249
2006,12,1,2,1.387,0,0.2,4.133,18.78
2006,12,1,3,1.427,0.067,0.267,3.6,19.853
2006,12,1,4,1.204,0.133,1.133,3.6,15.207
2006,12,1,5,1.28,0.067,2.533,3.533,15.207
2006,12,1,6,1.293,0.067,2.133,3.533,15.811
2006,12,1,7,1.289,0.067,2.8,3.6,15.022
2006,12,1,8,1.256,0.067,2.133,3.6,15.127
2006,12,1,9,1.291,0.133,2.8,3.533,15.053
2006,12,1,10,1.379,0.067,2.933,3.533,16.444
2006,12,1,11,1.295,0.067,2.867,3.533,15.116
2006,12,1,12,1.401,0.067,2.8,3.667,16.822
2006,12,1,13,1.368,0.067,2.8,3.533,16.405
2006,12,1,14,1.378,0.133,2.8,3.6,16.431
2006,12,1,15,1.488,2.533,2.933,3.6,15.731
2006,12,1,16,1.373,2.533,2.933,3.6,13.811
2006,12,1,17,1.193,2.467,2.867,3.467,11.091
2006,12,1,18,1.331,2.467,2.867,3.667,13.187
2006,12,1,19,1.455,2.467,2.933,3.6,15.249
2006,12,1,20,1.451,2.533,3,3.533,15.118
2006,12,1,21,1.277,2.467,3.067,3.667,12.091
2006,12,1,22,1.377,2.533,2.133,4,14.28
2006,12,1,23,1.376,1.133,2.2,4.867,14.727
2006,12,1,24,1.373,0.067,2.867,4.8,15.147
2006,12,1,25,1.361,1.8,2.733,4.867,13.28
2006,12,1,26,1.168,0.733,1.867,4.8,12.073
2006,12,1,27,1.273,0.067,2.4,4.867,13.88
2006,12,1,28,1.243,0.067,2.8,4.8,13.049
2006,12,1,29,1.078,0.133,2.2,4.933,10.707
2006,12,1,30,1.102,0.067,1.867,4.733,11.707
2006,12,1,31,1.371,0.067,2.667,4.8,15.324
2006,12,1,32,1.265,0.067,2.6,4.933,13.485
2006,12,1,33,1.196,0.067,1.733,4.733,13.393
2006,12,1,34,1.252,0.133,2.6,4.733,13.4
2006,12,1,35,1.271,0.067,2.667,5,13.449
2006,12,1,36,1.251,0.067,1.933,4.733,14.118
2006,12,1,37,1.301,0.067,1.867,4.667,15.089
2006,12,1,38,0.963,0.067,2.8,3.733,9.447
2006,12,1,39,1.043,0.133,2,3.6,11.651
2006,12,1,40,1.235,0.067,2.067,3.533,14.911
2006,12,1,41,1.076,0.067,2.6,3.6,11.671
2006,12,1,42,1.092,0.067,1.933,3.667,12.529
2006,12,1,43,1.258,0.067,1.733,3.533,15.627
2006,12,1,44,1.163,0.133,2.733,3.733,12.78
2006,12,1,45,1.188,0.067,1.467,3.533,14.736
2006,12,1,46,1.194,0.067,2.133,3.6,14.107
2006,12,1,47,1.107,0.067,2,3.6,12.78
2006,12,1,48,1.19,0.067,2.267,3.6,13.893
2006,12,1,49,1.076,0.067,0.467,3.667,13.74
2006,12,1,50,0.904,0.067,1.2,3.533,10.262
2006,12,1,51,1.142,0.133,1.667,3.667,13.56
2006,12,1,52,1.311,0.067,2.6,2.267,16.909
2006,12,1,53,1.01,0.067,1.333,2.4,13.027
2006,12,1,54,0.92,0.067,0.6,2.333,12.327
2006,12,1,55,1.093,0.133,0.533,2.4,15.147
2006,12,1,56,0.919,0.067,0.667,2.333,12.258
2006,12,1,57,0.982,0,0.6,2.4,13.371
2006,12,1,58,0.999,0.067,0.867,2.333,13.384
2006,12,1,59,1.148,1.933,0.733,2.333,14.138
2006,12,2,0,0.997,2.467,0.8,2.267,11.076
2006,12,2,1,1.023,2.467,0.467,2.333,11.791
2006,12,2,2,1.033,2.533,0.333,2.4,11.958
2006,12,2,3,1.07,2.6,0.467,2.4,12.371
