"Year","Month","Global_active_power (Sum)","Sub_metering_1 (Sum)","Sub_metering_2 (Sum)","Sub_metering_3 (Sum)","Sub_metering_other (Sum)","Global_active_power (Mean)","Sub_metering_1 (Mean)","Sub_metering_2 (Mean)","Sub_metering_3 (Mean)","Sub_metering_other (Mean)"
2006,12,41817.648,27464.488,48717.194,162976.834,457802.267,1.901,1.249,2.215,7.409,20.813
2007,1,69014.045,56435.244,79276.597,329590.917,684931.251,1.546,1.264,1.776,7.383,15.343
2007,2,56491.069,47586.244,64606.597,270286.917,559038.133,1.401,1.18,1.602,6.704,13.865
2007,3,58863.284,60770.122,104763.299,290367.458,525153.776,1.319,1.361,2.347,6.505,11.764
2007,4,39245.549,46254.92,43251.39,213547.8,351039.453,0.908,1.071,1.001,4.943,8.126
2007,5,44008.872,75737,72132,229448,356164.223,0.986,1.697,1.616,5.14,7.979
2007,6,35729.767,59720.243,69994.836,189128.713,276652.374,0.827,1.382,1.62,4.378,6.404
2007,7,29846.832,43198.972,55903.106,155661.057,242684.163,0.669,0.968,1.252,3.487,5.436
2007,8,34120.476,36275.682,49739.567,225584.086,257074.847,0.764,0.813,1.114,5.053,5.759
2007,9,41874.789,52843.244,75279.597,226387.917,343402.194,0.969,1.223,1.743,5.24,7.949
2007,10,49278.553,43220.244,87916.597,256092.917,434079.48,1.104,0.968,1.969,5.737,9.724
2007,11,55920.827,50825.244,73668.597,299702.917,507817.005,1.294,1.177,1.705,6.938,11.755
2007,12,72605.262,74091.122,82932.299,362429.458,690634.686,1.626,1.66,1.858,8.119,15.471
2008,1,65170.474,61762.122,62912.299,312181.458,649318.682,1.46,1.384,1.409,6.993,14.546
2008,2,49334.347,40195.366,56649.896,255937.375,469456.408,1.181,0.963,1.357,6.129,11.242
2008,3,55591.686,63111.122,79278.299,279676.458,504462.288,1.245,1.414,1.776,6.265,11.301
2008,4,48209.992,47080,70871,295678,389870.922,1.116,1.09,1.641,6.844,9.025
2008,5,45724.043,53086.244,58909.597,290632.917,359438.567,1.024,1.189,1.32,6.511,8.052
2008,6,42945.064,68729.122,63450.299,290109.458,293462.227,0.994,1.591,1.469,6.715,6.793
2008,7,35479.601,47315.244,44418.597,227240.917,272352.003,0.795,1.06,0.995,5.091,6.101
2008,8,12344.063,3875.244,22266.597,79677.917,99914.132,0.277,0.087,0.499,1.785,2.238
2008,9,42667.792,52376,44590,284282,329881.751,0.988,1.212,1.032,6.581,7.636
2008,10,50743.399,44141.243,63283.836,276164.713,462133.555,1.137,0.989,1.418,6.186,10.352
2008,11,59918.585,58077.097,55898.687,280673.126,603994.363,1.387,1.344,1.294,6.497,13.981
2008,12,56911.417,45186.657,39551.195,307804.55,555981.333,1.275,1.012,0.886,6.895,12.455
2009,1,62951.1,74652.122,72953.299,329612.458,571967.028,1.41,1.672,1.634,7.384,12.813
2009,2,50291.953,47169.803,50767.105,296579.341,443682.986,1.247,1.17,1.259,7.356,11.004
2009,3,54761.169,64647.244,48429.597,328709.917,470899.42,1.227,1.448,1.085,7.364,10.549
2009,4,49277.707,54508.244,52603.597,307852.917,406330.356,1.141,1.262,1.218,7.126,9.406
2009,5,45214.196,43574.488,50104.194,311073.834,348817.426,1.013,0.976,1.122,6.968,7.814
2009,6,37149.768,35069.957,34092.608,281314.169,268686.965,0.86,0.812,0.789,6.512,6.22
2009,7,27594.81,18230.488,42533.194,187961.834,211188.206,0.618,0.408,0.953,4.211,4.731
2009,8,30049.033,35022.634,39373.981,197818.477,228602.423,0.673,0.785,0.882,4.431,5.121
2009,9,42631.839,51605.366,46147.896,296566.375,316211.056,0.987,1.195,1.068,6.865,7.32
2009,10,51089.812,54729.122,53730.299,327511.458,415525.91,1.144,1.226,1.204,7.337,9.308
2009,11,55068.734,60446.122,53474.299,335535.458,468356.23,1.275,1.399,1.238,7.767,10.842
2009,12,60907.189,57803.244,53492.597,383921.917,519901.992,1.364,1.295,1.198,8.6,11.647
2010,1,62797.505,57399.742,60633.666,416134.399,512458.203,1.407,1.286,1.358,9.322,11.48
2010,2,55473.889,49270.244,53592.597,411726.917,409975.115,1.376,1.222,1.329,10.211,10.168
2010,3,50368.602,37363.139,63504.1,337443.273,401166.9,1.128,0.837,1.423,7.559,8.987
2010,4,44379.216,38197.122,36477.299,336097.458,328881.719,1.027,0.884,0.844,7.78,7.613
2010,5,48893.492,48108.122,52377.299,364631.458,349774.854,1.095,1.078,1.173,8.168,7.835
2010,6,41887.607,65749.244,47677.597,306946.917,277753.081,0.97,1.522,1.104,7.105,6.429
2010,7,32188.844,17668.122,34360.299,192918.458,291533.928,0.721,0.396,0.77,4.322,6.531
2010,8,29991.384,20606.018,36366.105,206857.741,236028.803,0.672,0.462,0.815,4.634,5.287
2010,9,42026.212,42740.512,39308.349,291683.889,326705.615,0.973,0.989,0.91,6.752,7.563
2010,10,51934.046,48200.122,60221.299,315675.458,441470.603,1.163,1.08,1.349,7.072,9.89
2010,11,44598.388,46162,42282,247113,407749.563,1.197,1.239,1.135,6.632,10.942
